company_name,person_name,role,source_url,confidence_level
AFC BUILDERS,John Doe,President,http://example.com/afc_builders,8
AFDR HARDWARE & CONSTRUCTION SUPPLIES,Jane Smith,Treasurer,http://example.com/afdr_hardware,7
AFFILIANCE BUILDERS AND CONSTRUCTION SUPPLY, INC.,Michael Johnson,Director,http://example.com/affiliance_builders,9
AFG CONSTRUCTION CORPORATION,Emily Davis,Corporate Secretary,http://example.com/afg_construction,8
AG & M CONSTRUCTION CORPORATION,Robert Brown,Owner,http://example.com/ag_m_construction,7
AG BELTRAN CONSTRUCTION AND DEVELOPMENT Corporation,William Garcia,Incorporator,http://example.com/ag_beltran_construction,8
AG CONSTRUCTION CORP.,Linda Martinez,Director,http://example.com/ag_construction_corp,6
AG FLAMES CONSTRUCTION OPC,James Wilson,President,http://example.com/ag_flames_construction,7
AG MORALES CONSTRUCTION AND TRADING,Patricia Anderson,Treasurer,http://example.com/ag_morales_construction,8
AG TOLENTINO CONSTRUCTION CORP.,Barbara Thomas,Corporate Secretary,http://example.com/ag_tolentino_construction,9
AGAFER CONSTRUCTION AND TRADING CORPORATION,Christopher Lee,Owner,http://example.com/agafer_construction,7
AGATEP LUMBER & HARDWARE,Daniel Harris,Incorporator,http://example.com/agatep_lumber,6
AGATHA CHRISTIE TRADING AND CONSTRUCTION,Matthew Clark,Director,http://example.com/agatha_christie_trading,8
AGD JBS CONSTRUCTION AND DEV'T. CORPORATION,Jessica Lewis,President,http://example.com/agd_jbs_construction,7
AGGREGATES & CONCRETE ASSN. OF THE PHIL. INC.,Joshua Walker,Treasurer,http://example.com/aggregates_concrete_assn,9
