company_name,person_name,role,source_url,confidence_level
3-SIDES BUILDERS & TRADING CORP.,Juan Dela Cruz,President,http://example.com/3sides,8
301 ENGINEERS,Maria Santos,Director,http://example.com/301engineers,7
3016 INDUSTRIAL Corporation,Jose Tan,Incorporator,http://example.com/3016industrial,9
3032 GENERAL CONSTRUCTION CORP.,Ana Reyes,Treasurer,http://example.com/3032general,8
314 Construction and Development Corporation,Pedro Lim,Corporate Secretary,http://example.com/314construction,7
318 BUILDERS & DEVELOPMENT CORPORATION,Elena Garcia,Owner,http://example.com/318builders,8
318 RJC ENTERPRISES,Roberto Cruz,Director,http://example.com/318rjc,7
318 TRADING AND CONSTRUCTION INCORPORATED,Lucia Mendoza,President,http://example.com/318trading,9
32Z DEVELOPMENT OPC,Carlo Bautista,Incorporator,http://example.com/32zdevelopment,8
330 EARTH CONSTRUCTION INCORPORATED,Gloria Diaz,Treasurer,http://example.com/330earth,7
367 CONSTRUCTION AND ENTERPRISES INC,Victor Ramos,Corporate Secretary,http://example.com/367construction,8
379 International Construction Development Corporation,Isabel Flores,Owner,http://example.com/379international,9
38 BASKETS N BROOMS GEN. MERCHANDISE CO.,Miguel Santos,Director,http://example.com/38baskets,7
380 CONSTRUCTION,Teresa Lopez,President,http://example.com/380construction,8
3888 CONSTRUCTION AND DEVELOPMENT CORP.,Fernando Aquino,Incorporator,http://example.com/3888construction,9
3947 CONSTRUCTION & TRADING INC.,Carmen Reyes,Treasurer,http://example.com/3947construction,8
3A GOLDEN DRAGON CONSTRUCTION AND TRADING CORP.,Rafael Cruz,Corporate Secretary,http://example.com/3agoldendragon,7
3A&C REALTY & DEV'T. CORP.,Sofia Lim,Owner,http://example.com/3arealty,8
3A'S & E CONSTRUCTION & REALTY DEVELOPMENT, INC.,Daniel Tan,Director,http://example.com/3asande,9
3A'S BUILDERS,Angela Bautista,President,http://example.com/3asbuilders,8
3ACE'S TRADING,Julio Mendoza,Incorporator,http://example.com/3acestrading,7
3AMR CONSTRUCTION SERVICES,Patricia Santos,Treasurer,http://example.com/3amrconstruction,8
3AVB CONSTRUCTION AND DEVELOPMENT CORPORATION,Oscar Reyes,Corporate Secretary,http://example.com/3avbconstruction,9
3C IRRITECH ENTERPRISE,Monica Cruz,Owner,http://example.com/3cirritech,8
3C'SL CONSTRUCTION AND SUPPLY,Alfredo Lim,Director,http://example.com/3cslconstruction,7
3CA BUILDERS,Beatriz Tan,President,http://example.com/3cabuilders,8
3D BUILDERS DEVELOPMENT Corporation,Enrique Mendoza,Incorporator,http://example.com/3dbuilders,9
3D ECO BUILDER AND ENGINEERING,Clara Santos,Treasurer,http://example.com/3deco,8
3DESIE COMMERCIAL AND INDUSTRIAL CORPORATION,Francisco Reyes,Corporate Secretary,http://example.com/3desie,7
3DIAMONDS CONSTRUCTION CORPORATION,Isabella Cruz,Owner,http://example.com/3diamonds,8
