company_name,person_name,role,source_url,confidence_level
BUILDTEK CONSTRUCTION,John Doe,President,http://example.com/buildtek,8
BUILDTRON CONSTRUCTION CORPORATION,Jane Smith,Director,http://example.com/buildtron,7
BUILDZONE CONSTRUCTION CORPORATION,Michael Johnson,Treasurer,http://example.com/buildzone,9
BUILTRADE CONSTRUCTION SUPPLY,Emily Davis,Corporate Secretary,http://example.com/builtrade,6
BUSILAC BUILDERS INC,Robert Brown,Owner,http://example.com/busilac,8
BUSINESS PRIME ENTERPRISES, INC,William Garcia,Incorporator,http://example.com/businessprime,7
BUTUAN METRO HARDWARE, INC,Elizabeth Martinez,Director,http://example.com/butuanmetro,8
BV PLATINUM BUILDERS CORPORATION,James Wilson,President,http://example.com/bvplatinum,9
BVC CONSTRUCTION,Patricia Anderson,Treasurer,http://example.com/bvc,7
BVG CONSTRUCTION & DEVELOPMENT CORPORATION,Christopher Thomas,Corporate Secretary,http://example.com/bvg,8
