person1_name,person2_name,relationship_type,relationship_description,dynasty1,dynasty2,source_url,confidence_level
MANUEL ZAMORA SR.,RONALDO ZAMORA,Brother,"Brothers, Manuel Sr. is founder of Nickel Asia Corporation, Ronaldo was longtime San Juan Representative and Executive Secretary under Estrada",ZAMORA,ZAMORA,https://www.forbes.com/profile/manuel-zamora-jr/,10
RONALDO ZAMORA,ROSEMARIE MANLAPIT,Husband,"Married couple, Ronaldo was San Juan Representative (1987-1998, 2001-2022) and Executive Secretary",ZAMORA,MANLAPIT,https://en.wikipedia.org/wiki/Ronaldo_Zamora,10
RONALDO ZAMORA,FRANCIS ZAMORA,Father,"Father-son, Francis is current Mayor of San Juan City (2019-present), defeated Estrada dynasty in 2019",ZAMORA,ZAMORA,https://en.wikipedia.org/wiki/Ronaldo_Zamora,10
RONALDO ZAMORA,YSABEL MARIA ZAMORA,Father,"Father-daughter, Ysabel Maria (Bel) is Representative of San Juan (2022-present)",ZAMORA,ZAMORA,https://en.wikipedia.org/wiki/Ronaldo_Zamora,10
RONALDO ZAMORA,AMPARO MARIA ZAMORA,Father,"Father-daughter, Amparo Maria (Pammy) is Representative of Taguig-Pateros 2nd District (2022-present)",ZAMORA,ZAMORA,https://en.wikipedia.org/wiki/Ronaldo_Zamora,10
RONALDO ZAMORA,SALVADOR ZAMORA,Brother,"Brothers, Salvador (Buddy) is sibling of Ronaldo",ZAMORA,ZAMORA,https://en.wikipedia.org/wiki/Ronaldo_Zamora,10
FRANCIS ZAMORA,YSABEL MARIA ZAMORA,Brother,"Siblings, Francis is San Juan Mayor, Bel is San Juan Representative",ZAMORA,ZAMORA,https://en.wikipedia.org/wiki/Ronaldo_Zamora,10
FRANCIS ZAMORA,AMPARO MARIA ZAMORA,Brother,"Siblings, Francis is mayor, Pammy is Taguig-Pateros Representative",ZAMORA,ZAMORA,https://en.wikipedia.org/wiki/Ronaldo_Zamora,10
YSABEL MARIA ZAMORA,AMPARO MARIA ZAMORA,Sister,"Sisters, both serving as Representatives in different districts",ZAMORA,ZAMORA,https://en.wikipedia.org/wiki/Ronaldo_Zamora,10
MANUEL ZAMORA SR.,MA. CARMEN ZAMORA-APSAY,Father,"Father-daughter, Manuel Sr. is Representative of Davao de Oro (2001-2010, 2019-present), Carmen was Vice Governor and Congresswoman",ZAMORA,ZAMORA,https://peoplaid.com/2019/12/01/manuel-zamora/,10
MANUEL ZAMORA SR.,MANUEL ZAMORA JR.,Father,Father-son (note: different from mining magnate Manuel Zamora Jr. who is brother of Ronaldo),ZAMORA,ZAMORA,https://peoplaid.com/2019/12/01/manuel-zamora/,10
AUGUSTUS MORENO,CYNTHIA MORENO,Husband,"Married couple, both served as mayors of Aloguinsan, Cebu (Cynthia 2007-2010, Augustus 2010-2017), both convicted of graft",MORENO,MORENO,https://cebudailynews.inquirer.net/120563/all-in-the-family,10
AUGUSTUS MORENO,IGNATIUS MORENO,Father,"Father-son, Ignatius (Ig-ig) was Vice Mayor who succeeded his father as Mayor of Aloguinsan after dismissal",MORENO,MORENO,https://cebudailynews.inquirer.net/120563/all-in-the-family,10
