company_name,person_name,role,source_url,confidence_level
AC TEJOME CONSTRUCTION,John Doe,President,http://example.com/ac-tejome-construction,8
AC-CHI CONSTRUCTION SERVICES,Jane Smith,Director,http://example.com/ac-chi-construction-services,7
ACA ABSOLUTE BUILDERS AND SUPPLY, INC.,Michael Johnson,Treasurer,http://example.com/aca-absolute-builders,9
ACA CONSTRUCTION,Emily Davis,Corporate Secretary,http://example.com/aca-construction,6
ACB BUILDERS AND TRADING,Robert Brown,Owner,http://example.com/acb-builders,7
ACC GOLDEN CONSTRUCTION SERVICES,William Garcia,Incorporator,http://example.com/acc-golden-construction,8
ACCELERATED METAL TECHNOLOGY & CONSTRUCTION, INC.,Linda Martinez,President,http://example.com/accelerated-metal-technology,9
ACCI CONSTRUCTION SUPPLY,James Wilson,Director,http://example.com/acci-construction-supply,7
ACCURACY BUILDER ENTERPRISE,Patricia Anderson,Treasurer,http://example.com/accuracy-builder-enterprise,6
ACD ASTROBUILT CONSTRUCTION & DEVELOPMENT INC.,Barbara Thomas,Corporate Secretary,http://example.com/acd-astrobuilt-construction,8
ACE CITI DEV'T. CORPORATION,Christopher Jackson,Owner,http://example.com/ace-citi-devt-corporation,7
ACE MATTHEW CONSTRUCTION & REALTY DEV. CORP.,Daniel White,Incorporator,http://example.com/ace-matthew-construction,9
ACE-1 IT SOLUTIONS,Matthew Harris,President,http://example.com/ace-1-it-solutions,8
ACEHEADS PRIME CONSTRUCTION, OPC,Elizabeth Clark,Director,http://example.com/aceheads-prime-construction,7
ACES 3 CONSTRUCTION,Joshua Lewis,Treasurer,http://example.com/aces-3-construction,6
ACESCAPE CONSTRUCTION,Jessica Walker,Corporate Secretary,http://example.com/acescape-construction,8
ACF CONSTRUCTION AND SUPPLY,David Hall,Owner,http://example.com/acf-construction-and-supply,7
ACF POWER ENTERPRISES,Sarah Allen,Incorporator,http://example.com/acf-power-enterprises,9
ACG CONSTRUCTION,Thomas Young,President,http://example.com/acg-construction,8
ACGR DEVELOPMNENT CONSTRUCTION AND SUPPLY CORPORATION,Betty King,Director,http://example.com/acgr-development-construction,7
ACHANZAR CONSTRUCTION,Mark Wright,Treasurer,http://example.com/achanzar-construction,6
ACI DESIGN AND BUILD,Steven Scott,Corporate Secretary,http://example.com/aci-design-and-build,8
