person1_name,person2_name,relationship_type,relationship_description,dynasty1,dynasty2,source_url,confidence_level
ROY PADILLA SR.,ROBIN PADILLA,Father,"Father-son, Roy Sr. was Governor of Camarines Norte (1986-1988), Robin is current Senator",PADILLA,PADILLA,https://www.gmanetwork.com/news/topstories/nation/918343/padilla-admits-asking-sibling-not-to-run-for-senate-in-2025/story/,10
ROY PADILLA SR.,ROMMEL PADILLA,Father,"Father-son, Rommel was Provincial Board Member of Nueva Ecija (2007-2010, 2016-2019)",PADILLA,PADILLA,https://en.wikipedia.org/wiki/Rommel_Padilla,10
ROY PADILLA SR.,ROY PADILLA JR.,Father,"Father-son, Roy Jr. served as Governor of Camarines Norte",PADILLA,PADILLA,https://www.gmanetwork.com/news/topstories/nation/918343/padilla-admits-asking-sibling-not-to-run-for-senate-in-2025/story/,10
ROY PADILLA SR.,RICARTE PADILLA,Father,"Father-son, Ricarte served as Governor of Camarines Norte",PADILLA,PADILLA,https://www.gmanetwork.com/news/topstories/nation/918343/padilla-admits-asking-sibling-not-to-run-for-senate-in-2025/story/,10
ROY PADILLA SR.,BB GANDANGHARI,Father,"Father-child, BB (formerly Rustom) is transgender actress and Rommel's sibling",PADILLA,PADILLA,https://en.wikipedia.org/wiki/Rommel_Padilla,10
ROBIN PADILLA,ROMMEL PADILLA,Brother,"Full brothers, both sons of Roy Padilla Sr. and Eva Cariño, both entered politics",PADILLA,PADILLA,https://en.wikipedia.org/wiki/Rommel_Padilla,10
ROBIN PADILLA,BB GANDANGHARI,Brother,"Siblings, both from same parents",PADILLA,PADILLA,https://en.wikipedia.org/wiki/Rommel_Padilla,10
ROMMEL PADILLA,BB GANDANGHARI,Brother,"Siblings, both from same parents Roy Padilla Sr. and Eva Cariño",PADILLA,PADILLA,https://en.wikipedia.org/wiki/Rommel_Padilla,10
ROBIN PADILLA,ROY PADILLA JR.,Brother,"Half-brothers, Roy Jr. is older half-brother who was Governor",PADILLA,PADILLA,https://www.gmanetwork.com/news/topstories/nation/918343/padilla-admits-asking-sibling-not-to-run-for-senate-in-2025/story/,10
ROBIN PADILLA,RICARTE PADILLA,Brother,"Half-brothers, both sons of Roy Padilla Sr., Ricarte was Governor",PADILLA,PADILLA,https://www.gmanetwork.com/news/topstories/nation/918343/padilla-admits-asking-sibling-not-to-run-for-senate-in-2025/story/,10
JOSE PADILLA SR.,ROY PADILLA SR.,Father,"Father-son, Jose was Governor of Bulacan, Roy Sr. was Governor of Camarines Norte",PADILLA,PADILLA,https://en.wikipedia.org/wiki/Rommel_Padilla,10
ROMMEL PADILLA,ANNABELLE ANTONIO,Husband,"Married couple (later annulled), parents of RJ, Matt, and Roanna Padilla",PADILLA,ANTONIO,https://www.wikiwand.com/en/articles/Rommel_Padilla,10
ROMMEL PADILLA,DANIEL PADILLA,Father,"Father-son, Daniel is actor who campaigned for his father in Nueva Ecija",PADILLA,PADILLA,https://www.abs-cbn.com/entertainment/05/10/19/look-daniel-padilla-campaigns-for-dad-rommel-in-nueva-ecija,10
MARK VILLAR,CARLO AGUILAR,Cousin,"Cousins, Carlo is Senator Mark Villar's cousin, former Las Piñas City Councilor and 2025 mayoral candidate",VILLAR,AGUILAR,https://www.instagram.com/reel/DPfvAH3DNRf/,10
CARLO AGUILAR,DANIELLE PAULA AGUILAR,Husband,"Married couple, Carlo is former councilor and mayoral candidate of Las Piñas",AGUILAR,AGUILAR,https://peoplaid.com/2025/04/16/about-carlo-aguilar/,10
