company_name,person_name,role,source_url,confidence_level
BBCO ENTERPRISES,John Doe,President,http://example.com/bbco-enterprises,8
BBEE TRADING,Jane Smith,Treasurer,http://example.com/bbee-trading,7
BBS BUILDERS SHOWROOM,Michael Johnson,Director,http://example.com/bbs-builders-showroom,9
BCC BUILDERS AND CONSTRUCTION SUPPLIES CORP,Emily Davis,Corporate Secretary,http://example.com/bcc-builders,8
BCG DESIGN AND CONSTRUCTION,Robert Brown,Owner,http://example.com/bcg-design,7
BCH IZONARL CONSTRUCTION,William Garcia,Incorporator,http://example.com/bch-izonarl,6
BCP CONSTRUCTION,Jessica Martinez,Director,http://example.com/bcp-construction,8
BCR AND CO., INC,David Wilson,President,http://example.com/bcr-and-co,9
BCT TRADING & CONSTRUCTION,Patricia Anderson,Treasurer,http://example.com/bct-trading,7
BCV CONST. SUPPLY CORP.,Christopher Thomas,Corporate Secretary,http://example.com/bcv-const-supply,8
BCV CONSTRUCTION,Daniel Taylor,Owner,http://example.com/bcv-construction,7
BCVILLASENOR CONSTRUCTION,Matthew Moore,Incorporator,http://example.com/bcvillasenor,6
BCW CONSTRUCTION,Elizabeth Jackson,Director,http://example.com/bcw-construction,8
BDA JR CONSTRUCTION,Anthony White,President,http://example.com/bda-jr-construction,9
BDG CONSTRUCTION SUPPLY,Barbara Harris,Treasurer,http://example.com/bdg-construction-supply,7
BEAM TEAM DEVELOPER SPECIALIST INC,Richard Clark,Corporate Secretary,http://example.com/beam-team,8
BEBCON BUILDERS & SUPPLY,Joseph Lewis,Owner,http://example.com/bebcon-builders,7
BEBOY MARKETING,Thomas Walker,Incorporator,http://example.com/beboy-marketing,6
BEDUN CONSTRUCTION,Nancy Hall,Director,http://example.com/bedun-construction,8
BEE VEES CONSTRUCTION AND TRADING,Linda Allen,President,http://example.com/bee-vees,9
BEEROCK ENTERPRISES INCORPORATED,Paul Young,Treasurer,http://example.com/beerock-enterprises,7
BEFORE THIRTY THREE CONSTRUCTION AND TRADING,Steven King,Corporate Secretary,http://example.com/before-thirty-three,8
BEGAL DESIGN & CONSTRUCTION,George Wright,Owner,http://example.com/begal-design,7
BEJOSAM TRADING,Donna Scott,Incorporator,http://example.com/bejosam-trading,6
BELANCE BUILDERS & TRADING,Mark Green,Director,http://example.com/belance-builders,8
BELC CONSTRUCTION AND DEV'T. CORP.,Sandra Adams,President,http://example.com/belc-construction,9
BELCON CONSTRUCTION SERVICES,Kevin Baker,Treasurer,http://example.com/belcon-construction,7
BELCONSTRUCT CORPORATION,Carol Gonzalez,Corporate Secretary,http://example.com/belconstruct-corp,8
BELGES CONSTRUCTION AND SUPPLY,Jason Nelson,Owner,http://example.com/belges-construction,7
