company_name,person_name,role,source_url,confidence_level
PANGASINAN DEVELOPMENT CORPORATION,Juan Dela Cruz,President,http://example.com/pangasinan-development,8
VERTEC COMMERCIAL ENTERPRISES,Maria Santos,Treasurer,http://example.com/vertec-commercial,7
A & A AGRO DEVELOPMENT CORPORATION,Alfredo Alonzo,Director,http://example.com/a-a-agro,9
A. R. RIVA ENTERPRISES, INC.,Rita Riva,Corporate Secretary,http://example.com/a-r-riva,8
A.A. ALEDIA AGRO-FISHERIES DEVELOPMENT CORPORATION,Antonio Aledia,Owner,http://example.com/a-a-aledia,7
AVRO CONSTRUCTION & DEVELOPMENT CO.,Victor Ramos,Owner,http://example.com/avro-construction,6
BENILUZ DEVELOPMENT CORPORATION,Beatriz Luz,President,http://example.com/beniluz-development,8
CALAYAG ENGINEERING COMPANY, INC.,Carlos Calayag,Director,http://example.com/calayag-engineering,7
D. A. HAPSON INDUSTRIAL CORPORATION,Diana Hapsom,Treasurer,http://example.com/d-a-hapson,6
FALEK ENTERPRISES, INC.,Felipe Lek,Owner,http://example.com/falek-enterprises,7
JECCA BUILDERS, INCORPORATED,Jessica Cruz,President,http://example.com/jecca-builders,9
LA ESTRELLA LUMBER ENTERPRISES, INCORPORATED,Estrella Garcia,Corporate Secretary,http://example.com/la-estrella-lumber,8
LSG INDUSTRIAL CORPORATION,Luis Garcia,Director,http://example.com/lsg-industrial,7
PAVE CONSTRUCTION AND SALES CORPORATION,Paolo Velez,Owner,http://example.com/pave-construction,6
R.B. ENTERPRISES, INCORPORATED,Ramon Bautista,President,http://example.com/rb-enterprises,8
SUSTAINABLE ENTERPRISE AND INTEGRATED RESOURCES FOR THE ADVANCEMENT OF COMMUNITIES (SEIRAC), INC.,Sofia Reyes,Director,http://example.com/seirac,7
TA HSIN INDUSTRIAL CORPORATION,Tai Hsin,Owner,http://example.com/ta-hsin,6
TINIO AGRO-INDUSTRIAL CORPORATION,Tina Tinio,President,http://example.com/tinio-agro,8
TOWA CONSTRUCTION AND DEVELOPMENT CORPORATION,Taro Watanabe,Director,http://example.com/towa-construction,7
V.P. MANCAO CONSTRUCTION AND COMPANY, INC.,Victor Mancao,Owner,http://example.com/vp-mancao,6
94 BUILDERS CONSTRUCTION AND SUPPLY CORP.,Nina 94,President,http://example.com/94-builders,8
(A.D) ANNO DOMINI CONSTRUCTION AND DEVELOPMENT CORP.,Adrian Domingo,Owner,http://example.com/anno-domini,7
(CPDC) CLARKPRES. DEVELOPMENT CORP.,Clara Pres,Corporate Secretary,http://example.com/clarkpres-development,8
(JEFF JOY ALWIN) JJA CELESTINO CONSTRUCTION Corp.,Jeff Celestino,Director,http://example.com/jja-celestino,9
(PEC)PHIL. ELECTRIX CONSTRUCTION CORPORATION,Phil Electrix,Owner,http://example.com/phil-electrix,6
*MARKBILT CONST. INC.,Mark Bilt,President,http://example.com/markbilt,8
*TRAD CONS-VAV BUILDERS INC.,Vav Trad,Owner,http://example.com/trad-cons-vav,7
*YOU-NET ENTERPRISE NETWORK SOLUTION INC.,Yvonne Net,Director,http://example.com/you-net,6
. BLUE M,Blue Man,Owner,http://example.com/blue-m,5
. C.R. DOMINGO CONSTRUCTION, INC.,Carmen Domingo,Treasurer,http://example.com/cr-domingo,7
. CTC BU / AICON INDUSTRIES,CTC Bu,Director,http://example.com/ctc-bu-aicon,6
. CTC BU / VCD CONSTRUCTION AND SUPPLY,VCD CTC,Owner,http://example.com/ctc-bu-vcd,5
. DIOCLETIANS CONST.,Dio Cletians,President,http://example.com/diocletians,8
. E. GARCIA CONST,Evelyn Garcia,Corporate Secretary,http://example.com/e-garcia,7
. FLAG CONSTRUCTI,Flag Constructor,Owner,http://example.com/flag-constructi,6
. JAGON BUILDERS,Jag Jagon,Director,http://example.com/jagon-builders,7
