person1_name,person2_name,relationship_type,relationship_description,dynasty1,dynasty2,source_url,confidence_level
EDUARDO JOSON SR.,TOMAS JOSON III,Father,"Father-son, Eduardo 'Tatang' was Governor (1960-1986, 1988-1990), Tomas III was Governor (1989-1990, 1992-1995, 1998-2007) and Vice Governor",JOSON,JOSON,https://en.wikipedia.org/wiki/Eduardo_Joson,10
EDUARDO JOSON SR.,EDUARDO NONATO JOSON,Father,"Father-son, Eduardo Nonato 'Edno' was Representative (1988, 2007-2010), Governor (1995-1998), and NFA Administrator",JOSON,JOSON,https://en.wikipedia.org/wiki/Eduardo_Joson,10
EDUARDO JOSON SR.,MARIANO CRISTINO JOSON,Father,"Father-son, Mariano Cristino 'Boyet' is Mayor of Quezon town (the Joson's political stronghold)",JOSON,JOSON,https://punto.com.ph/political-families-dominate-cocs/,10
EDUARDO JOSON SR.,ARACELI SANTOS NORIEL,Husband,"Married couple, Araceli is granddaughter of General Mariano Noriel, they had six children",JOSON,NORIEL,https://en.wikipedia.org/wiki/Eduardo_Joson,10
TOMAS JOSON III,EDWARD THOMAS JOSON,Father,"Father-son, Edward Thomas is former Vice Governor who ran for Governor",JOSON,JOSON,https://punto.com.ph/political-families-dominate-cocs/,10
EDUARDO NONATO JOSON,MARIANO CRISTINO JOSON,Brother,"Brothers who had political rivalry, Edno backs different candidates than Boyet in gubernatorial races",JOSON,JOSON,https://punto.com.ph/political-families-dominate-cocs/,10
RAFAEL JOSON,EDUARDO JOSON SR.,Son,"Possible father-son relationship, Rafael is part of the Joson political dynasty of Nueva Ecija",JOSON,JOSON,https://en.wikipedia.org/wiki/List_of_political_families_in_the_Philippines,7
PRESBITERO VELASCO JR.,VINCENT MICHAEL VELASCO,Father,"Father-son, Presbitero had three children: Vincent Michael, Lord Allan Jay, and Tricia Nicole",VELASCO,VELASCO,https://en.wikipedia.org/wiki/Presbitero_Velasco_Jr.,10
VINCENT MICHAEL VELASCO,LORD ALLAN JAY VELASCO,Brother,"Brothers, sons of SC Justice Presbitero Velasco Jr.",VELASCO,VELASCO,https://en.wikipedia.org/wiki/Presbitero_Velasco_Jr.,10
VINCENT MICHAEL VELASCO,TRICIA NICOLE VELASCO-CATERA,Brother,"Siblings, children of Presbitero Velasco Jr.",VELASCO,VELASCO,https://en.wikipedia.org/wiki/Presbitero_Velasco_Jr.,10
