person1_name,person2_name,relationship_type,relationship_description,dynasty1,dynasty2,source_url,confidence_level
JOSE ALVAREZ,AMY ROA ALVAREZ,Father,"Father-daughter, Jose is 2nd District Representative (2022-present) and former Governor of Palawan (2013-2022), Amy won as Governor in 2025",ALVAREZ,ALVAREZ,https://dailyguardian.com.ph/12-dynasties-lose-gubernatorial-races-but-71-of-82-provinces-still-led-by-political-clans/,10
TOMAS ALVAREZ,JOSE ALVAREZ,Father,"Father-son, Tomas was an engineer, Jose became Governor of Palawan",ALVAREZ,ALVAREZ,https://en.wikipedia.org/wiki/Jose_Alvarez_(Filipino_politician),10
ADELINO SITOY,ARLEIGH SITOY,Father,"Father-son, Adelino is Presidential Legislative Liaison Office head and former Cordova mayor, Arleigh was Provincial Board member (deceased 2016)",SITOY,SITOY,https://cebudailynews.inquirer.net/112337/arleigh-sitoy-former-pb-member-passes-on-at-58,10
ARLEIGH SITOY,CRISTINA SITOY,Husband,"Married couple, Arleigh was Provincial Board member and former Cordova mayor",SITOY,SITOY,https://cebudailynews.inquirer.net/112536/family-colleagues-remember-pb-sitoy,10
ARLEIGH SITOY,LEIGHNA KATRINA SITOY,Father,"Father-daughter, Leighna is a lawyer",SITOY,SITOY,https://cebudailynews.inquirer.net/112536/family-colleagues-remember-pb-sitoy,10
ARLEIGH SITOY,ARLEIGH JAY SITOY,Son,"Father-son, both served as Provincial Board members in different periods",SITOY,SITOY,https://www.sunstar.com.ph/more-articles/nalzaro-the-sitoy-family-feud,9
NOEL ROSAL,GERALDINE ROSAL,Husband,"Married couple, Noel is Governor of Albay (2022-present), Geraldine was Mayor of Legazpi City (2010-2013, 2025-present)",ROSAL,ROSAL,https://en.wikipedia.org/wiki/Noel_Rosal,10
ANTONIO ROSAL,NOEL ROSAL,Father,Possible father-son relationship in the Rosal political family of Albay,ROSAL,ROSAL,https://en.wikipedia.org/wiki/Noel_Rosal,6
FERNANDO LLAMAS,ALFONSO UMALI,Cousin,"Cousins, Fernando is head of mayor's league administration, Alfonso is Representative of Oriental Mindoro",LLAMAS,UMALI,https://politiko.com.ph/tag/fernando-llamas/,8
RONALD LLAMAS,FERNANDO LLAMAS,Brother,"Possible brothers, Ronald was Presidential Political Affairs Adviser under President Aquino III",LLAMAS,LLAMAS,https://en.wikipedia.org/wiki/Ronald_Llamas,7
RAMON REVILLA SR.,AZUCENA MORTEL,Husband,"Married couple (Azucena died 1998), Ramon was Senator and Governor of Cavite, had at least 72 children from multiple relationships",REVILLA,MORTEL,https://en.wikipedia.org/wiki/Ramon_Revilla_Sr.,10
RAMON REVILLA SR.,BONG REVILLA,Father,"Father-son, Ramon Sr. was Senator, Bong is current Senator and former Cavite Vice Governor and Governor",REVILLA,REVILLA,https://en.wikipedia.org/wiki/Ramon_Revilla_Sr.,10
ILDEFONSO BAUTISTA,RAMON REVILLA SR.,Father,"Father-son, Ildefonso was businessman, Ramon Sr. (born Jose Acuña Bautista) was Senator",BAUTISTA,REVILLA,https://en.wikipedia.org/wiki/Ramon_Revilla_Sr.,10
