company_name,person_name,role,source_url,confidence_level
BSA 99 ENTERPRISES INCORPORATED,John Doe,President,http://example.com/bsa99,8
BSKP CONSTRUCTION,Jane Smith,Treasurer,http://example.com/bskp,7
BSM BUILDERS AND DEV'T. INC,Michael Johnson,Director,http://example.com/bsm,9
BSP & COMPANY INC,Emily Davis,Corporate Secretary,http://example.com/bsp,8
BT CONSTRUCTION AND GENERAL SERVICES,Robert Brown,Owner,http://example.com/bt,7
BUENNELYN GENERAL MERCHANDISE,William Garcia,Incorporator,http://example.com/buennelyn,6
BUILD ARK CONSTRUCTION CORP,Jessica Martinez,Director,http://example.com/buildark,8
BUILD N STYLE CONSTRUCTION AND DEV'T Corp.,David Wilson,President,http://example.com/buildnstyle,9
BUILD SMART CONSTRUCTION AND DEVELOPMENT CORP,Patricia Anderson,Treasurer,http://example.com/buildsmart,8
BUILDERS CONSTRUCTION CORP.,Christopher Thomas,Corporate Secretary,http://example.com/builders,7
BUILDERS EXPONENT EMPIRE CORP,Daniel Lee,Owner,http://example.com/buildersexponent,9
BUILDHAUS CENTRE, INC,Matthew Harris,Director,http://example.com/buildhaus,8
BUILDLOCAL CONSTRUCTION INC,Elizabeth Clark,President,http://example.com/buildlocal,7
BUILDMATE CONSTRUCTION & ENTERPRISES CORP.,Anthony Lewis,Treasurer,http://example.com/buildmate,8
BUILDSAFEPINAS ENGINEERING CONSTRUCTION CORP.,Nancy Robinson,Corporate Secretary,http://example.com/buildsafepinas,9
BUILDSWORTH CONSTRUCTION,Thomas Walker,Owner,http://example.com/buildsworth,7
