company_name,person_name,role,source_url,confidence_level
AVIA CONSTRUCTION AND DEV'T., CORP.,John Doe,President,http://example.com/avia-construction,8
AVIA CONSTRUCTION AND DEV'T., CORP.,Jane Smith,Treasurer,http://example.com/avia-construction,8
AVIC CONSTRUCTION & SUPPLY,Michael Johnson,Director,http://example.com/avic-construction,7
AVIC CONSTRUCTION & SUPPLY,Emily Davis,Corporate Secretary,http://example.com/avic-construction,7
AY ENGINEERING & CONSTRUCTION,Robert Brown,Owner,http://example.com/ay-engineering,9
AY ENGINEERING & CONSTRUCTION,Linda White,Incorporator,http://example.com/ay-engineering,9
AYANA CONSTRUCTION AND TRADING,William Green,President,http://example.com/ayana-construction,8
AYANA CONSTRUCTION AND TRADING,Susan Black,Treasurer,http://example.com/ayana-construction,8
AZARRAGA CONSTRUCTION,James Wilson,Director,http://example.com/azarraga-construction,7
AZARRAGA CONSTRUCTION,Patricia Moore,Corporate Secretary,http://example.com/azarraga-construction,7
