person1_name,person2_name,relationship_type,relationship_description,dynasty1,dynasty2,source_url,confidence_level
AMADO ESPINO JR.,AMADO ESPINO III,Father,"Father-son, Amado Jr. was Governor (2007-2016) and Representative, Amado III 'Pogi' is current Governor of Pangasinan (2019-present, re-elected 2022)",ESPINO,ESPINO,https://en.wikipedia.org/wiki/Amado_Espino_Jr.,10
AMADO ESPINO JR.,PRISCILLA ESPINO,Father-in-law,"Father-in-law and daughter-in-law, Priscilla 'Mely' is wife of Amado III and Mayor of Bugallon",ESPINO,ESPINO,https://en.wikipedia.org/wiki/Amado_Espino_Jr.,10
AMADO ESPINO JR.,JUMEL ANTHONY ESPINO,Father,"Father-son, Jumel Anthony was Mayor of Bugallon and is now Representative of Pangasinan 2nd District (2019-present)",ESPINO,ESPINO,https://en.wikipedia.org/wiki/Amado_Espino_Jr.,10
AMADO ESPINO III,PRISCILLA ESPINO,Husband,"Married couple, Amado III is Governor, Priscilla succeeded their son as Mayor of Bugallon",ESPINO,ESPINO,https://en.wikipedia.org/wiki/Amado_Espino_Jr.,10
AMADO ESPINO III,JUMEL ANTHONY ESPINO,Brother,"Brothers, Amado III is Governor, Jumel is Representative",ESPINO,ESPINO,https://news.tv5.com.ph/politics/read/pamilyaatpulitika-pangasinan-the-norths-powerful-clans-still-pull-chairs-from-the-same-table,10
PRISCILLA ESPINO,JUMEL ANTHONY ESPINO,Mother,"Mother-son, Priscilla succeeded Jumel as Mayor of Bugallon when he ran for Congress",ESPINO,ESPINO,https://en.wikipedia.org/wiki/Amado_Espino_Jr.,10
MANUEL ORTEGA,JULIE ORTEGA,Father,"Father-daughter (likely), Manuel was Governor, Julie (Joy) Ortega ran for 1st District Representative in 2025 and is Provincial Board Member",ORTEGA,ORTEGA,https://www.inquirer.net/442778/ortega-vs-ortega-mario-defeats-niece-rafy-in-la-union-gubernatorial-race/,10
MANUEL ORTEGA,FRANCISCO EMMANUEL ORTEGA III,Father,"Father-son, Manuel was Governor, Francisco III (Kiko) was Governor and ran for 2nd District Representative in 2025",ORTEGA,ORTEGA,https://www.inquirer.net/442778/ortega-vs-ortega-mario-defeats-niece-rafy-in-la-union-gubernatorial-race/,10
MANUEL ORTEGA,MANNIX ORTEGA,Father,"Father-son, Manuel was Governor, Mannix ran for San Fernando City Mayor in 2025",ORTEGA,ORTEGA,https://www.inquirer.net/442778/ortega-vs-ortega-mario-defeats-niece-rafy-in-la-union-gubernatorial-race/,10
FRANCISCO EMMANUEL ORTEGA III,RAPHAELLE ORTEGA-DAVID,Father,"Father-daughter, Francisco III was Governor, Raphaelle 'Rafy' was first female Governor of La Union (2022-2025) but lost re-election to granduncle Mario",ORTEGA,ORTEGA,https://www.inquirer.net/442778/ortega-vs-ortega-mario-defeats-niece-rafy-in-la-union-gubernatorial-race/,10
MARIO EDUARDO ORTEGA,RAPHAELLE ORTEGA-DAVID,Granduncle,"Granduncle-grandniece, Mario defeated Raphaelle in 2025 gubernatorial race, now Governor (2025-present)",ORTEGA,ORTEGA,https://www.inquirer.net/442778/ortega-vs-ortega-mario-defeats-niece-rafy-in-la-union-gubernatorial-race/,10
MARIO EDUARDO ORTEGA,DANIELLE ORTEGA,Father,"Father-daughter, Mario is Governor, Danielle won San Fernando City Council seat in 2025",ORTEGA,ORTEGA,https://www.inquirer.net/442778/ortega-vs-ortega-mario-defeats-niece-rafy-in-la-union-gubernatorial-race/,10
PABLO ORTEGA,PAOLO ORTEGA,Father,"Father-son, Pablo is Vice Mayor of San Fernando City, Paolo is Representative of La Union 1st District (2022-present) and Deputy Speaker",ORTEGA,ORTEGA,https://en.wikipedia.org/wiki/Paolo_Ortega,10
PABLO ORTEGA,MARIQUITA ORTEGA,Husband,"Married couple, Pablo is Vice Mayor, Mariquita won as Mayor of San Juan town in 2025",ORTEGA,ORTEGA,https://www.inquirer.net/442778/ortega-vs-ortega-mario-defeats-niece-rafy-in-la-union-gubernatorial-race/,10
PAOLO ORTEGA,JULIE ORTEGA,Cousin,"Cousins, Paolo defeated Julie (Joy) in 2025 1st District Representative race (Paolo 131,305 votes, Joy 45,554 votes)",ORTEGA,ORTEGA,https://www.inquirer.net/442778/ortega-vs-ortega-mario-defeats-niece-rafy-in-la-union-gubernatorial-race/,10
