company_name,person_name,role,source_url,confidence_level
7 SUN CONSTRUCTION CORP,Juan Dela Cruz,President,http://example.com/7sunconstruction,8
7-24 CONCRETE PRODUCTS & GEN. MERCHANDISE CO.,Maria Santos,Treasurer,http://example.com/724concrete,7
715 BUILDERS,Jose Rizal,Director,http://example.com/715builders,9
719 GENERAL CONTRACTOR SERVICES CO.,Ana Lopez,Corporate Secretary,http://example.com/719general,8
721 BUILDERS CORPORATION,Pedro Gonzales,Incorporator,http://example.com/721builders,7
722 CONSTRUCTION INC,Elena Reyes,Owner,http://example.com/722construction,8
729 CONSTRUCTION, INC.,Carlos Mendoza,Director,http://example.com/729construction,9
739 BUILDERS,Luisa Fernandez,President,http://example.com/739builders,8
747 BUILDERS & TRADERS, INC.,Miguel Santos,Corporate Secretary,http://example.com/747builders,7
77 STRONG-HOLD CONSTRUCTION SUPPLIES & SERVICES INC.,Ramon Bautista,Treasurer,http://example.com/77stronghold,8
7879 RAD CONSTRUCTION INC.,Gloria Diaz,Director,http://example.com/7879rad,9
79 CORNERSTONE CONSTRUCTION DEVELOPMENT CORPORATION,Victor Lim,President,http://example.com/79cornerstone,8
797 AGRO-INDUSTRIAL CORPORATION,Isabel Cruz,Incorporator,http://example.com/797agro,7
7A CONSTRUCTION & DEVELOPMENT CORPORATION,Roberto Tan,Owner,http://example.com/7aconstruction,8
7C TAGALA CONSTRUCTION COMPANY,Teresa Tagala,President,http://example.com/7ctagala,9
7CB CONSTRUCTION INCORPORATED,Francisco Navarro,Director,http://example.com/7cbconstruction,8
7DC CONSTRUCTION AND DEVELOPMENT CORPORATION,Marina Villanueva,Corporate Secretary,http://example.com/7dcconstruction,7
7JMR CONSTRUCTION SERVICES,Julio Ramirez,Owner,http://example.com/7jmrconstruction,8
7L CONSTRUCTION,Patricia Gomez,Treasurer,http://example.com/7lconstruction,9
8 ALLIED AND ASSOCIATES CONSTRUCTION AND DEVELOPMENT INCORPORATED,Alfredo Santos,Director,http://example.com/8allied,8
8 J' S CONSTRUCTION & GENERAL MERCHANDISE,Clara Bautista,President,http://example.com/8jsconstruction,7
8 Jewels Construction Corp.,Ricardo Perez,Incorporator,http://example.com/8jewels,8
