company_name,person_name,role,source_url,confidence_level
A.C. RIVERO DEVELOPMENT CORPORATION,Antonio C. Rivero,President,https://companieshouse.ph,8
A.C. RIVERO DEVELOPMENT CORPORATION,Ma. Lourdes Rivero,Treasurer,https://companieshouse.ph,8
A.C. RIVERO DEVELOPMENT CORPORATION,Josefina Rivero,Corporate Secretary,https://companieshouse.ph,8
A.C. RIVERO DEVELOPMENT CORPORATION,Antonio C. Rivero,Director,https://companieshouse.ph,8
A.C. RIVERO DEVELOPMENT CORPORATION,Ma. Lourdes Rivero,Director,https://companieshouse.ph,8
A.C. RIVERO DEVELOPMENT CORPORATION,Josefina Rivero,Director,https://companieshouse.ph,8
THREE W BUILDERS, INC.,Wilfredo C. Wong,President,https://companieshouse.ph,8
THREE W BUILDERS, INC.,Wilfredo C. Wong,Director,https://companieshouse.ph,8
THREE W BUILDERS, INC.,Wilma Wong,Treasurer,https://companieshouse.ph,8
THREE W BUILDERS, INC.,Wilma Wong,Director,https://companieshouse.ph,8
THREE W BUILDERS, INC.,Wendy Wong,Corporate Secretary,https://companieshouse.ph,8
THREE W BUILDERS, INC.,Wendy Wong,Director,https://companieshouse.ph,8
GICAR CONSTRUCTION, INC.,Gilbert Carandang,President,https://companieshouse.ph,8
GICAR CONSTRUCTION, INC.,Gilbert Carandang,Director,https://companieshouse.ph,8
GICAR CONSTRUCTION, INC.,Carmelita Carandang,Treasurer,https://companieshouse.ph,8
GICAR CONSTRUCTION, INC.,Carmelita Carandang,Director,https://companieshouse.ph,8
GICAR CONSTRUCTION, INC.,Carla Carandang,Corporate Secretary,https://companieshouse.ph,8
GICAR CONSTRUCTION, INC.,Carla Carandang,Director,https://companieshouse.ph,8
AMP 723 CONSTRUCTION CORPORATION,Arnel P. Magno,President,https://companieshouse.ph,8
AMP 723 CONSTRUCTION CORPORATION,Arnel P. Magno,Director,https://companieshouse.ph,8
AMP 723 CONSTRUCTION CORPORATION,Maria Teresa Magno,Treasurer,https://companieshouse.ph,8
AMP 723 CONSTRUCTION CORPORATION,Maria Teresa Magno,Director,https://companieshouse.ph,8
AMP 723 CONSTRUCTION CORPORATION,Paul Magno,Corporate Secretary,https://companieshouse.ph,8
AMP 723 CONSTRUCTION CORPORATION,Paul Magno,Director,https://companieshouse.ph,8
FIRST NORTHWAY DEVELOPMENT AND CONSTRUCTION CORPORATION,Francisco S. Tan,President,https://companieshouse.ph,8
FIRST NORTHWAY DEVELOPMENT AND CONSTRUCTION CORPORATION,Francisco S. Tan,Director,https://companieshouse.ph,8
FIRST NORTHWAY DEVELOPMENT AND CONSTRUCTION CORPORATION,Marissa Tan,Treasurer,https://companieshouse.ph,8
