person1_name,person2_name,relationship_type,relationship_description,dynasty1,dynasty2,source_url,confidence_level
"FELICIANO BELMONTE","VICENTE BELMONTE","Cousin","Cousins in the BELMONTE political dynasty","BELMONTE","BELMONTE","https://www.philstar.com/headlines/2014/12/12/1401680/solon-ambush-slay-try-escapes-unhurt",8
"MAR-LEN BINAY","JEJOMAR BINAY","Father/Daughter","Father-daughter relationship in the BINAY political dynasty","BINAY","BINAY","https://www.rappler.com/nation/jejejomar-binay-family-political-dynasty",9
"MARIA DE VENECIA","JOSE DE VENECIA","Husband/Wife","Married couple within the DE VENECIA dynasty","DE VENECIA","DE VENECIA","https://www.gmanetwork.com/news/news/nation/240973/jose-de-venecia-s-wife-may-run-for-congress/story/",8
"IMELDA DIMAPORO","ABDULLAH DIMAPORO","Husband/Wife","Married couple within the DIMAPORO dynasty","DIMAPORO","DIMAPORO","https://www.rappler.com/nation/elections/2019/philippines-political-dynasties-mindanao",8
"JOEL DUAVIT","ROEL DUAVIT","Brother/Brother","Brothers in the DUAVIT political dynasty","DUAVIT","DUAVIT","https://www.gmanetwork.com/news/news/nation/240973/jose-de-venecia-s-wife-may-run-for-congress/story/",7
"GERALD GULLAS","EDUARDO GULLAS","Grandfather/Grandson","Grandfather-grandson relationship in the GULLAS political dynasty","GULLAS","GULLAS","https://www.sunstar.com.ph/article/1809055/Cebu/Local-News/Gullas-dynasty-still-strong-in-Cebu",9
"FELIX FUENTEBELLA","ARNULFO FUENTEBELLA","Father/Son","Father-son relationship in the FUENTEBELLA political dynasty","FUENTEBELLA","FUENTEBELLA","https://www.rappler.com/nation/elections/2019/philippines-political-dynasties-bicol",8
"ENRIQUE GARCIA","JOSE ENRIQUE GARCIA III","Father/Son","Father-son relationship in the GARCIA political dynasty","GARCIA","GARCIA","https://www.rappler.com/nation/elections/2019/philippines-political-dynasties-bataan",9
"OSCAR GARIN","SHARON GARIN","Father/Daughter","Father-daughter relationship in the GARIN political dynasty","GARIN","GARIN","https://www.rappler.com/nation/elections/2019/philippines-political-dynasties-iloilo",8
"NEPTALI GONZALES","NEPTALI GONZALES II","Father/Son","Father-son relationship in the GONZALES political dynasty","GONZALES","GONZALES","https://www.rappler.com/nation/elections/2019/philippines-political-dynasties-metro-manila",9
