person1_name,person2_name,relationship_type,relationship_description,dynasty1,dynasty2,source_url,confidence_level
"JOSEPH EJERCITO","JOSEPH ESTRADA","Father/Son","Joseph Ejercito is the son of former President Joseph Estrada, a prominent political figure in the Estrada dynasty","EJERCITO","ESTRADA","https://en.wikipedia.org/wiki/Joseph_Ejercito_Estrada",9
"MARLEN BINAY","JEJOMAR BINAY","Daughter/Father","Marlen Binay is the daughter of Jejomar Binay, former Vice President of the Philippines, part of the Binay political dynasty","BINAY","BINAY","https://en.wikipedia.org/wiki/Jejomar_Binay",9
"MARLEN BINAY","ABIGAIL BINAY","Sister/Sister","Marlen Binay is the sister of Abigail Binay, both part of the Binay political dynasty","BINAY","BINAY","https://en.wikipedia.org/wiki/Abigail_Binay",8
"MARLEN BINAY","JUNJUN BINAY","Sister/Brother","Marlen Binay is the sister of Junjun Binay, both part of the Binay political dynasty","BINAY","BINAY","https://en.wikipedia.org/wiki/Jejomar_Binay_Jr.",8
"JOSE ZUBIRI","JUAN MIGUEL ZUBIRI","Father/Son","Jose Zubiri is the father of Juan Miguel Zubiri, a senator, part of the Zubiri political dynasty","ZUBIRI","ZUBIRI","https://en.wikipedia.org/wiki/Juan_Miguel_Zubiri",9
"JOSEPH ABAYA","ARTURO ABAYA","Father/Son","Joseph Abaya is the son of Arturo Abaya, a former congressman, part of the Abaya political dynasty","ABAYA","ABAYA","https://en.wikipedia.org/wiki/Joseph_Emilio_Abaya",8
"JUAN ANGARA","EDGARDO ANGARA","Son/Father","Juan Angara is the son of Edgardo Angara, a former senator, part of the Angara political dynasty","ANGARA","ANGARA","https://en.wikipedia.org/wiki/Edgardo_Angara",9
"JUAN ANGARA","SONNY ANGARA","Brother/Brother","Juan Angara is the brother of Sonny Angara, a senator, part of the Angara political dynasty","ANGARA","ANGARA","https://en.wikipedia.org/wiki/Sonny_Angara",8
"IGNACIO ARROYO","MIKE ARROYO","Brother/Brother","Ignacio Arroyo is the brother of Mike Arroyo, husband of former President Gloria Macapagal Arroyo, part of the Arroyo political dynasty","ARROYO","ARROYO","https://en.wikipedia.org/wiki/Ignacio_Arroyo",8
"IGNACIO ARROYO","GLORIA MACAPAGAL ARROYO","Brother-in-law/Sister-in-law","Ignacio Arroyo is the brother-in-law of Gloria Macapagal Arroyo, former President of the Philippines, part of the Arroyo political dynasty","ARROYO","MACAPAGAL ARROYO","https://en.wikipedia.org/wiki/Ignacio_Arroyo",8
