person1_name,person2_name,relationship_type,relationship_description,dynasty1,dynasty2,source_url,confidence_level
"HENEDINA ABAD","FLORENCIO ABAD","Husband/Wife","Married couple within the ABAD dynasty","ABAD","ABAD","https://en.wikipedia.org/wiki/Henedina_Abad",9
"FRANCIS ABAYA","JESSE ABAYA","Father/Son","Father-son relationship in ABAYA political dynasty","ABAYA","ABAYA","https://en.wikipedia.org/wiki/Francis_Abaya",8
"FRANCIS ABAYA","EMILIO ABAYA","Brother/Brother","Siblings in ABAYA dynasty","ABAYA","ABAYA","https://en.wikipedia.org/wiki/Francis_Abaya",8
"PEDRO ACHARON JR.","PEDRO ACHARON SR.","Father/Son","Father-son relationship in ACHARON political dynasty","ACHARON","ACHARON","https://en.wikipedia.org/wiki/Pedro_Acharon_Jr.",8
"MARIA ACOSTA","JUAN MIGUEL ZUBIRI","Cousin","Cousins in ZUBIRI political dynasty","ACOSTA","ZUBIRI","https://en.wikipedia.org/wiki/Juan_Miguel_Zubiri",7
"MA. AGGABAO","GEORGE AGGABAO","Husband/Wife","Married couple within the AGGABAO dynasty","AGGABAO","AGGABAO","https://en.wikipedia.org/wiki/George_Aggabao",8
"JUM AKBAR","WAHAB AKBAR","Husband/Wife","Married couple within the AKBAR dynasty","AKBAR","AKBAR","https://en.wikipedia.org/wiki/Jum_Akbar",9
"MARLYN ALONTE","ARLENE ALONTE","Sister/Sister","Siblings in ALONTE dynasty","ALONTE","ALONTE","https://en.wikipedia.org/wiki/Marlyn_Alonte",7
"MERCEDES ALVAREZ","GENARO ALVAREZ JR.","Father/Daughter","Father-daughter relationship in ALVAREZ political dynasty","ALVAREZ","ALVAREZ","https://en.wikipedia.org/wiki/Mercedes_Alvarez",9
"PANTALEON ALVAREZ","EMILIA ALVAREZ","Father/Daughter","Father-daughter relationship in ALVAREZ political dynasty","ALVAREZ","ALVAREZ","https://en.wikipedia.org/wiki/Pantaleon_Alvarez",8
"ROLANDO ANDAYA JR.","ROLANDO ANDAYA SR.","Father/Son","Father-son relationship in ANDAYA political dynasty","ANDAYA","ANDAYA","https://en.wikipedia.org/wiki/Rolando_Andaya_Jr.",8
"MAGNOLIA ANTONINO-NADRES","MAGNOLIA ANTONINO","Mother/Daughter","Mother-daughter relationship in ANTONINO political dynasty","ANTONINO","ANTONINO","https://en.wikipedia.org/wiki/Magnolia_Antonino",8
"ROSE ARENAS","RACHEL ARENAS","Mother/Daughter","Mother-daughter relationship in ARENAS political dynasty","ARENAS","ARENAS","https://en.wikipedia.org/wiki/Rose_Arenas",9
"ERICO AUMENTADO","RHEA AUMENTADO","Father/Daughter","Father-daughter relationship in AUMENTADO political dynasty","AUMENTADO","AUMENTADO","https://en.wikipedia.org/wiki/Erico_Aumentado",8
"FELICIANO BELMONTE","JOY BELMONTE","Father/Daughter","Father-daughter relationship in BELMONTE political dynasty","BELMONTE","BELMONTE","https://en.wikipedia.org/wiki/Feliciano_Belmonte_Jr.",9
"JOSE BELMONTE","FELICIANO BELMONTE","Brother/Brother","Siblings in BELMONTE dynasty","BELMONTE","BELMONTE","https://en.wikipedia.org/wiki/Jose_Belmonte",8
"ROZZANO BIAZON","RUDY BIAZON","Father/Son","Father-son relationship in BIAZON political dynasty","BIAZON","BIAZON","https://en.wikipedia.org/wiki/Rozzano_Biazon",9
"JUAN BONDOC","RITA BONDOC","Father/Daughter","Father-daughter relationship in BONDOC political dynasty","BONDOC","BONDOC","https://en.wikipedia.org/wiki/Juan_Bondoc",8
"FERJENEL BIRON","JESUS BIRON","Father/Son","Father-son relationship in BIRON political dynasty","BIRON","BIRON","https://en.wikipedia.org/wiki/Ferjenel_Biron",8
