person1_name,person2_name,relationship_type,relationship_description,dynasty1,dynasty2,source_url,confidence_level
"IMEE MARCOS","FERDINAND MARCOS","Father/Daughter","Imee Marcos is the daughter of former President Ferdinand Marcos","MARCOS","MARCOS","https://en.wikipedia.org/wiki/Imee_Marcos",10
"IMEE MARCOS","BONGBONG MARCOS","Brother/Sister","Imee Marcos is the sister of Bongbong Marcos, the current President of the Philippines","MARCOS","MARCOS","https://en.wikipedia.org/wiki/Imee_Marcos",10
"JINGGOY EJERCITO ESTRADA","JOSEPH ESTRADA","Father/Son","Jinggoy Estrada is the son of former President Joseph Estrada","ESTRADA","ESTRADA","https://en.wikipedia.org/wiki/Jinggoy_Estrada",10
"JOSEPH VICTOR G. EJERCITO","JOSEPH ESTRADA","Father/Son","JV Ejercito is the son of former President Joseph Estrada","ESTRADA","ESTRADA","https://en.wikipedia.org/wiki/JV_Ejercito",10
"JOSEPH VICTOR G. EJERCITO","JINGGOY EJERCITO ESTRADA","Brother/Brother","JV Ejercito and Jinggoy Estrada are half-brothers","ESTRADA","ESTRADA","https://en.wikipedia.org/wiki/JV_Ejercito",9
"FRANCIS G. ESCUDERO","SALVADOR ESCUDERO","Father/Son","Francis Escudero is the son of the late Salvador Escudero, a former Agriculture Secretary","ESCUDERO","ESCUDERO","https://en.wikipedia.org/wiki/Francis_Escudero",9
"FRANCIS PANGILINAN","SHARON CUNETA","Husband/Wife","Francis Pangilinan is married to actress Sharon Cuneta","PANGILINAN","CUNETA","https://en.wikipedia.org/wiki/Francis_Pangilinan",9
"IMEE R. MARCOS","FERDINAND MARCOS","Father/Daughter","Imee R. Marcos is the daughter of former President Ferdinand Marcos","MARCOS","MARCOS","https://en.wikipedia.org/wiki/Imee_Marcos",10
"IMEE R. MARCOS","BONGBONG MARCOS","Brother/Sister","Imee R. Marcos is the sister of Bongbong Marcos, the current President of the Philippines","MARCOS","MARCOS","https://en.wikipedia.org/wiki/Imee_Marcos",10
"MARK A. VILLAR","CYNTHIA VILLAR","Mother/Son","Mark Villar is the son of Senator Cynthia Villar","VILLAR","VILLAR","https://en.wikipedia.org/wiki/Mark_Villar",9
"MARK A. VILLAR","MANNY VILLAR","Father/Son","Mark Villar is the son of former Senate President Manny Villar","VILLAR","VILLAR","https://en.wikipedia.org/wiki/Mark_Villar",9
