person1_name,person2_name,relationship_type,relationship_description,dynasty1,dynasty2,source_url,confidence_level
"MERCEDES CAGAS","MARC DOUGLAS CAGAS IV","Mother/Son","Mercedes Cagas is the mother of Marc Douglas Cagas IV, both part of the Cagas political dynasty in Davao del Sur","CAGAS","CAGAS","https://www.rappler.com/nation/elections/davao-del-sur-political-dynasty-cagas",9
"IMELDA CALIXTO-RUBIANO","EDWIN OLIVAREZ","Sister/Brother-in-law","Imelda Calixto-Rubiano is the sister-in-law of Edwin Olivarez, both involved in politics in the NCR","CALI-XTO","OLIVAREZ","https://www.philstar.com/nation/2019/05/15/1918085/olivarez-calixto-families-tighten-grip-paraaque-pasay",8
"LUIS CAMPOS","ABIGAIL BINAY","Husband/Wife","Luis Campos is married to Abigail Binay, both part of political dynasties in the NCR","CAMPOS","BINAY","https://www.rappler.com/nation/elections/abigail-binay-luis-campos-makati",9
"FREDENIL CASTRO","JULIETTE CASTRO","Husband/Wife","Fredenil Castro is married to Juliette Castro, both involved in politics in Capiz","CASTRO","CASTRO","https://www.sunstar.com.ph/article/1805634",8
"NANCY CATAMCO","ROGER TALINO","Sister/Brother-in-law","Nancy Catamco is the sister-in-law of Roger Talino, both involved in politics in Cotabato","CATAMCO","TALINO","https://www.mindanews.com/top-stories/2019/05/catamco-talino-clan-tightens-grip-on-cotabato-politics/",8
"DAKILA CUA","JUNIE CUA","Son/Father","Dakila Cua is the son of Junie Cua, both part of the Cua political dynasty in Quirino","CUA","CUA","https://www.rappler.com/nation/elections/quino-cua-dynasty",9
"LUISA CUARESMA","CARLOS PADILLA","Sister/Brother-in-law","Luisa Cuaresma is the sister-in-law of Carlos Padilla, both involved in politics in Nueva Vizcaya","CUARESMA","PADILLA","https://www.philstar.com/nation/2019/05/15/1918085/padilla-cuaresma-families-tighten-grip-nueva-vizcaya",8
"RAUL DAZA","PAUL DAZA","Father/Son","Raul Daza is the father of Paul Daza, both part of the Daza political dynasty in Northern Samar","DAZA","DAZA","https://www.rappler.com/nation/elections/daza-dynasty-northern-samar",9
"RAUL DEL MAR","RACHEL DEL MAR","Father/Daughter","Raul Del Mar is the father of Rachel Del Mar, both part of the Del Mar political dynasty in Cebu","DEL MAR","DEL MAR","https://www.sunstar.com.ph/article/1805634",9
"MOHAMAD DIMAPORO","ABDULLAH DIMAPORO","Father/Son","Mohamad Dimaporo is the father of Abdullah Dimaporo, both part of the Dimaporo political dynasty in Lanao del Norte","DIMAPORO","DIMAPORO","https://www.rappler.com/nation/elections/dimaporo-dynasty-lanao-del-norte",9
"RAMON DURANO VI","RAMON DURANO III","Son/Father","Ramon Durano VI is the son of Ramon Durano III, both part of the Durano political dynasty in Cebu","DURANO","DURANO","https://www.rappler.com/nation/elections/durano-dynasty-cebu",9
"SANDRA ERIGUEL","FRANCISCO ERIGUEL","Wife/Husband","Sandra Eriguel is the wife of the late Francisco Eriguel, both part of the Eriguel political dynasty in La Union","ERIGUEL","ERIGUEL","https://www.rappler.com/nation/elections/eriguel-dynasty-la-union",8
"EVELINA ESCUDERO","SALVADOR ESCUDERO III","Wife/Husband","Evelina Escudero is the wife of the late Salvador Escudero III, both part of the Escudero political dynasty in Sorsogon","ESCUDERO","ESCUDERO","https://www.rappler.com/nation/elections/escudero-dynasty-sorsogon",8
"ROGELIO ESPINA","GERARDO ESPINA JR.","Brother/Brother","Rogelio Espina is the brother of Gerardo Espina Jr., both part of the Espina political dynasty in Biliran","ESPINA","ESPINA","https://www.rappler.com/nation/elections/espina-dynasty-biliran",9
"RODOLFO FARIÑAS","RUDY FARIÑAS","Father/Son","Rodolfo Fariñas is the father of Rudy Fariñas, both part of the Fariñas political dynasty in Ilocos Norte","FARIÑAS","FARIÑAS","https://www.rappler.com/nation/elections/farinas-dynasty-ilocos-norte",9
"JULIET FERRER","IGNACIO ARROYO","Wife/Husband","Juliet Ferrer is the wife of the late Ignacio Arroyo, both involved in politics in Negros Occidental","FERRER","ARROYO","https://www.rappler.com/nation/elections/ferrer-arroyo-dynasty-negros-occidental",8
"GWENDOLYN GARCIA","PABLO GARCIA","Daughter/Father","Gwendolyn Garcia is the daughter of Pablo Garcia, both part of the Garcia political dynasty in Cebu","GARCIA","GARCIA","https://www.rappler.com/nation/elections/garcia-dynasty-cebu",9
"MYLENE GARCIA-ALBANO","RODOLFO ALBANO III","Wife/Husband","Mylene Garcia-Albano is married to Rodolfo Albano III, both involved in politics in Davao del Sur","GARCIA","ALBANO","https://www.rappler.com/nation/elections/garcia-albano-dynasty-davao-del-sur",8
