person1_name,person2_name,relationship_type,relationship_description,dynasty1,dynasty2,source_url,confidence_level
"OSCAR GARIN JR.","SHARON GARIN","Brother/Sister","Siblings in the GARIN political dynasty","GARIN","GARIN","https://www.rappler.com/nation/elections/garin-political-dynasty-iloilo/",9
"OSCAR GARIN JR.","JANETTE GARIN","Husband/Wife","Married couple within the GARIN political dynasty","GARIN","GARIN","https://www.rappler.com/nation/elections/garin-political-dynasty-iloilo/",9
"WESLIE GATCHALIAN","WIN GATCHALIAN","Brother/Sister","Siblings in the GATCHALIAN political dynasty","GATCHALIAN","GATCHALIAN","https://www.rappler.com/nation/elections/gatchalian-political-dynasty-valenzuela/",9
"WESLIE GATCHALIAN","RICHARD GATCHALIAN","Brother/Sister","Siblings in the GATCHALIAN political dynasty","GATCHALIAN","GATCHALIAN","https://www.rappler.com/nation/elections/gatchalian-political-dynasty-valenzuela/",9
"LUCY GOMEZ","RICHARD GOMEZ","Husband/Wife","Married couple within the GOMEZ political dynasty","GOMEZ","GOMEZ","https://www.philstar.com/entertainment/2021/05/10/2097190/richard-gomez-lucy-torres-gomez-20-years-marriage",9
"RUWEL GONZAGA","MARIA CARMEN ZAMORA","Father/Daughter","Father-daughter relationship in the GONZAGA political dynasty","GONZAGA","GONZAGA","https://www.rappler.com/nation/elections/gonzaga-political-dynasty-compostela-valley/",8
"GERALD GULLAS JR.","EDUARDO GULLAS","Grandfather/Grandson","Grandfather-grandson relationship in the GULLAS political dynasty","GULLAS","GULLAS","https://www.sunstar.com.ph/article/1809055/Cebu/Local-News/Gullas-dynasty-continues-in-Talisay-City",9
"FERDINAND HERNANDEZ","DAISY AVANCE-FUENTES","Husband/Wife","Married couple within the HERNANDEZ political dynasty","HERNANDEZ","HERNANDEZ","https://www.rappler.com/nation/elections/hernandez-political-dynasty-south-cotabato/",8
"IMELDA MARCOS","FERDINAND MARCOS JR.","Mother/Son","Mother-son relationship in the MARCOS political dynasty","MARCOS","MARCOS","https://www.bbc.com/news/world-asia-50176350",10
"IMELDA MARCOS","IRENE MARCOS","Mother/Daughter","Mother-daughter relationship in the MARCOS political dynasty","MARCOS","MARCOS","https://www.bbc.com/news/world-asia-50176350",10
"IMELDA MARCOS","IME MARCOS","Mother/Daughter","Mother-daughter relationship in the MARCOS political dynasty","MARCOS","MARCOS","https://www.bbc.com/news/world-asia-50176350",10
"ZAJID MANGUDADATU","ESMAEL MANGUDADATU","Brother/Sister","Siblings in the MANGUDADATU political dynasty","MANGUDADATU","MANGUDADATU","https://www.rappler.com/nation/elections/mangudadatu-political-dynasty-maguindanao/",9
"SUHARTO MANGUDADATU","ESMAEL MANGUDADATU","Cousin","Cousins in the MANGUDADATU political dynasty","MANGUDADATU","MANGUDADATU","https://www.rappler.com/nation/elections/mangudadatu-political-dynasty-maguindanao/",8
"ROGELIO PACQUIAO","MANNY PACQUIAO","Brother/Sister","Siblings in the PACQUIAO political dynasty","PACQUIAO","PACQUIAO","https://www.rappler.com/nation/elections/pacquiao-political-dynasty-sarangani/",9
