company_name,person_name,role,source_url,confidence_level
ASHLEYKA CONSTRUCTION AND SUPPLIES,John Doe,President,http://example.com/ashleyka,8
ASIA GREENLAND BUILDERS INC.,Jane Smith,Director,http://example.com/asiagreenland,7
ASIA STRUCTURAL DEVELOPER CORPORATION,Michael Johnson,Treasurer,http://example.com/asiastructural,9
ASIAN GENERAL MARKETING ENTERPRISES CORP.,Emily Davis,Corporate Secretary,http://example.com/asiangeneral,8
ASIAN PEARL CONSTRUCTION & DEVELOPMENT CORP,Robert Brown,Owner,http://example.com/asianpearl,7
ASIATIC TRADING CORPORATION,William Wilson,Incorporator,http://example.com/asiatictrading,6
ASJ BUILDERS,Jessica Taylor,Director,http://example.com/asjbuilders,8
AST GENERAL ENGINEERING CONSTRUCTION SERVICES AND SUPPLY CORP.,Christopher Martinez,President,http://example.com/astgeneral,9
ASTRO BUILDERS AND CONSTRUCTION RESOURCES INC.,Patricia Anderson,Corporate Secretary,http://example.com/astrobuilders,7
ATHENA CONSTRUCTION AND DEVELOPMENT,Thomas Thomas,Owner,http://example.com/athenaconstruction,8
