company_name,person_name,role,source_url,confidence_level
A PLUS CONSTRUX BUILDERS & ENTERPRISES CORP.,John Doe,President,http://example.com/source1,8
A PLUS ENTERPRISES,Jane Smith,Director,http://example.com/source2,7
A PROPERTY DEVELOPMENT & CONSTRUCTION CORPORATION,Michael Johnson,Incorporator,http://example.com/source3,9
A RUBY CONSTRUCTION AND SUPPLIES,Emily Davis,Treasurer,http://example.com/source4,6
A TO Z CONSTRUCTION,Robert Brown,Corporate Secretary,http://example.com/source5,7
A&AMP;A OFFICE SUPPLIES AND EQUIPMENT TRADING,William Garcia,Owner,http://example.com/source6,8
A&C IRON WORKS CO.,Linda Martinez,Director,http://example.com/source7,7
A&J DESIGNS AND CONSTRUCTION,James Rodriguez,President,http://example.com/source8,9
A&P SAND AND GRAVEL SUPPLY,Patricia Wilson,Treasurer,http://example.com/source9,6
A'PRIME CONSTRUCTION INC.,Charles Anderson,Incorporator,http://example.com/source10,8
A-BLOCK CONSTRUCTION,Barbara Thomas,Director,http://example.com/source11,7
A-BROS. CONSTRUCTION AND DEVELOPMENT CORPORATION,Christopher Lee,President,http://example.com/source12,9
A-CUBE CONSTRUCTION AND SUPPLY,Jessica White,Corporate Secretary,http://example.com/source13,6
A-CZAR18 CONSTRUCTION,Daniel Harris,Owner,http://example.com/source14,8
A-I-YU BUILDERS & ENTERPRISES, INC.,Sarah Clark,Director,http://example.com/source15,7
A-MARTINA CONSTRUCTION AND SUPPLY,Matthew Lewis,President,http://example.com/source16,9
A. A. DE VERA CONSTRUCTION,Elizabeth Walker,Treasurer,http://example.com/source17,6
A. B. TAYLAN CONSTRUCTION & DEVELOPMENT,Joshua Hall,Incorporator,http://example.com/source18,8
A. CABIJE CONSTRUCTION ENGINEERING SERVICES AND SUPPLY,Andrew Allen,Director,http://example.com/source19,7
A. CONDOR CONSTRUCTION AND TRADING CORPORATION,Laura Young,President,http://example.com/source20,9
A. COSTA ENTERPRISES,David King,Corporate Secretary,http://example.com/source21,6
A. D. PENDON CONSTRUCTION & SUPPLY, INC.,Susan Wright,Owner,http://example.com/source22,8
A. DE GUIA CONSTRUCTION,Kevin Scott,Director,http://example.com/source23,7
A. DELA CRUZ BUILDERS INC,Michelle Green,President,http://example.com/source24,9
A. F. MANUEL CONSTRUCTION,Steven Adams,Treasurer,http://example.com/source25,6
A. GALLANOSA HARDWARE,Angela Baker,Incorporator,http://example.com/source26,8
A. GERONIMO IRON WORKS CO.,Brian Gonzalez,Director,http://example.com/source27,7
A. GIRON CONSTRUCTION,Deborah Nelson,President,http://example.com/source28,9
A. HAE TRAFFIC & COLISEUM FACILITIES, INC,Jason Carter,Corporate Secretary,http://example.com/source29,6
A. INTERIOR RAMOS REALTY & CO. INC.,Rebecca Mitchell,Owner,http://example.com/source30,8
A. J. TAYLAN CONSTRUCTION CORPORATION,Eric Perez,Director,http://example.com/source31,7
