company_name,person_name,role,source_url,confidence_level
4J CONSTRUCTION,Juan Dela Cruz,President,http://example.com/4j_construction,8
4-Way Construction & Trading Opc,Maria Santos,Director,http://example.com/4way_construction,7
4.N.G. BUILDERS AND SUPPLY,Jose Tan,Incorporator,http://example.com/4ng_builders,6
417 LP CONSTRUCTION CORP,Anna Reyes,Treasurer,http://example.com/417_lp_construction,9
428 HI-TECH GROUP INC,Michael Lim,Corporate Secretary,http://example.com/428_hi_tech,8
45 CONSTRUCTION INCORPORATED,Elena Garcia,Owner,http://example.com/45_construction,7
458 CONSTRUCTION SUPPLY,Roberto Cruz,Director,http://example.com/458_construction_supply,6
467 GENERAL CONSTRUCTION CORP.,Luis Mendoza,President,http://example.com/467_general_construction,8
480 BUILDERS,Carla Diaz,Incorporator,http://example.com/480_builders,7
49ERS CONCRETE PRODUCTS CO.,Fernando Lopez,Treasurer,http://example.com/49ers_concrete,9
4A INDUSTRIAL SERVICES AND SUPPLY,Isabel Santos,Corporate Secretary,http://example.com/4a_industrial,8
4AB CONSTRUCTIONANDSUPPLIES CIVIL ENGINEERING CONSTRUCTION,Victor Ramos,Owner,http://example.com/4ab_construction,7
4ANGLE CONSTRUCTION,Patricia Cruz,Director,http://example.com/4angle_construction,6
4B CONSTRUCTION CORPORATION,Daniel Reyes,President,http://example.com/4b_construction,8
4CE'S CONSTRUCTION & SUPPLY CO.,Angela Lim,Incorporator,http://example.com/4ces_construction,7
4DOVE BUILDERS CORPORATION,Francisco Tan,Treasurer,http://example.com/4dove_builders,9
4J SALAZAR BLDG. INC.,Gloria Mendoza,Corporate Secretary,http://example.com/4j_salazar,8
4J'S CONSTRUCTION SERVICES,Henry Garcia,Owner,http://example.com/4js_construction,7
4JC1 CONSTRUCTION DEVELOPMENT CORPORATION,Monica Santos,Director,http://example.com/4jc1_construction,6
4JMC CONSTRUCTION AND SUPPLY,Oscar Cruz,President,http://example.com/4jmc_construction,8
4JY'S CONSTRUCTION SERVICES,Teresa Lopez,Incorporator,http://example.com/4jys_construction,7
4K & A BUILDERS & CONSTRUCTION SUPPLY,Alfredo Reyes,Treasurer,http://example.com/4k_a_builders,9
4K VERMARK CIVIL ENGINEERING CONSTRUCTION,Julia Tan,Corporate Secretary,http://example.com/4k_vermark,8
4M GENERAL MERCHANDISE,Pedro Santos,Owner,http://example.com/4m_general_merchandise,7
4MD JSL CONSTRUCTION INC,Clara Lim,Director,http://example.com/4md_jsl_construction,6
4MP Builders and Supply Corp.,Rafael Mendoza,President,http://example.com/4mp_builders,8
4MS BUILDERS AND CONSTRUCTION SUPPLIES INC.,Sofia Garcia,Incorporator,http://example.com/4ms_builders,7
4MV CONSTRUCTION AND DEVELOPMENT CORP.,Carlos Cruz,Treasurer,http://example.com/4mv_construction,9
4PILLARS-GROUP HARDWARE SUPPLY CORP.,Diana Reyes,Corporate Secretary,http://example.com/4pillars_group,8
4RIVERS DEVELOPER INC.,Miguel Santos,Owner,http://example.com/4rivers_developer,7
4RM CONSTRUCTION AND SUPPLIES,Laura Tan,Director,http://example.com/4rm_construction,6
