company_name,person_name,role,source_url,confidence_level
14K GEN. MDSE. CO.,John Doe,President,http://example.com/source1,8
1520 TRADING & GEN. MDSE. INC.,Jane Smith,Treasurer,http://example.com/source2,7
157 DEVELOPERS INC.,Michael Johnson,Director,http://example.com/source3,9
15O5 Construction Services Co.,Emily Davis,Corporate Secretary,http://example.com/source4,6
168 ACA CONSTRUCTION CORPORATION,Robert Brown,Owner,http://example.com/source5,8
168 CONSTRUCTION AND DEVELOPMENT CORPORATION,Susan Wilson,President,http://example.com/source6,7
168 DRAGON CONSTRUCTION AND DEVELOPMENT CORPORATION,David Lee,Director,http://example.com/source7,9
168 GLOBAL CONSTRUCTION AND DEVELOPMENT CORP.,Linda Martinez,Treasurer,http://example.com/source8,8
168 MASTER CONSTRUCTION AND DEVELOPMENT CORPORATION,James Taylor,Corporate Secretary,http://example.com/source9,7
168 PALM TRADE & GEN. MERCHANDISE, INC.,Patricia Anderson,Owner,http://example.com/source10,8
175 BUILDERS & CONSTRUCTION SUPPLY, INC.,Charles Thomas,President,http://example.com/source11,6
1988 TWIN DRAGON CONSTRUCTION AND DEVELOPMENT CORPORATION,Jessica White,Director,http://example.com/source12,9
1C4M BUILDERS INC.,William Harris,Treasurer,http://example.com/source13,7
1FC DIZON CORP.,Karen Clark,Corporate Secretary,http://example.com/source14,8
1HB CONSTRUCTION Corp.,Thomas Lewis,Owner,http://example.com/source15,9
