company_name,person_name,role,source_url,confidence_level
3N SOLID BUILDERS CONSTRUCTION CORPORATION,John Doe,President,http://example.com/3n_solid_builders,8
3N_CONSTRUCTION_&_SUPPLY,Jane Smith,Treasurer,http://example.com/3n_construction_supply,7
3R & G CONSTRUCTION AND SUPPLY CO.,Richard Roe,Director,http://example.com/3r_g_construction,9
3R AC CONSTRUCTION AND DEVELOPMENT CORPORATION,Emily Davis,Corporate Secretary,http://example.com/3r_ac_construction,8
3R BUILDERS AND SUPPLY OPC,Michael Brown,Owner,http://example.com/3r_builders_supply,6
3R SERGIE HARDWARE,Anna Johnson,Incorporator,http://example.com/3r_sergie_hardware,7
3R'S BUILDERS AND RESOURCES,David Wilson,Director,http://example.com/3rs_builders_resources,8
3R-2F CONSTRUCTION & TRADING,Laura Martinez,President,http://example.com/3r_2f_construction,7
3R3M CONSTRUCTION AND SUPPLY,James Taylor,Treasurer,http://example.com/3r3m_construction_supply,9
3RA EAGLE CONSTRUCTION AND SUPPLIES OPC,Patricia Anderson,Corporate Secretary,http://example.com/3ra_eagle_construction,8
3RB CONSTRUCTION & SUPPLY,Robert Thomas,Owner,http://example.com/3rb_construction_supply,6
3RD DRAGON BUILDERS INNOVATION,Jennifer White,Incorporator,http://example.com/3rd_dragon_builders,7
3RDGIE & RGIE GEN. MERCHANDISE CO.,Charles Harris,Director,http://example.com/3rdgie_rgie_merchandise,8
3RDTECH CONSTRUCTION,Jessica Clark,President,http://example.com/3rdtech_construction,7
3RV MURICO INC.,Christopher Lewis,Treasurer,http://example.com/3rv_murico,9
3S BUILDERS,Daniel Robinson,Corporate Secretary,http://example.com/3s_builders,8
3S BUILDERS AND ENGINEERING SERVICES INC.,Sarah Walker,Owner,http://example.com/3s_builders_engineering,6
3S1D CONSTRUCTION SUPPLIES AND SERVICES CORPORATION,Paul Hall,Incorporator,http://example.com/3s1d_construction_supplies,7
3U HOLLOW BLOCKS & CONCRETE PRODUCTS MANUFACTURING CO.,Nancy Allen,Director,http://example.com/3u_hollow_blocks,8
3VC CONSTRUCTION,Mark Young,President,http://example.com/3vc_construction,7
3X3 ALLIANCE CONSTRUCTION AND TRADING CORP.,Linda King,Treasurer,http://example.com/3x3_alliance_construction,9
3_SUMMITS_CONSTRUCTION_&_GENERAL_MERCHANDISE,Steven Wright,Corporate Secretary,http://example.com/3_summits_construction,8
4 DOUBLERS TRADING & CONTRACTOR,Barbara Scott,Owner,http://example.com/4_doublers_trading,6
4 J'S CONSTRUCTION SERVICES,Kevin Green,Incorporator,http://example.com/4_js_construction_services,7
4 JEMS HARDWARE SUPPLY CO.,Susan Adams,Director,http://example.com/4_jems_hardware_supply,8
4 NL CONSTRUCTION,George Baker,President,http://example.com/4_nl_construction,7
4 STAR BUILDERS AND DEVELOPER CORPORATION,Betty Gonzalez,Treasurer,http://example.com/4_star_builders,9
